Type,Grass,Fire,Water,Electric,Psychic,Ground,Normal,Flying,Dark,Steel,ID,Pokemon/Type
Grass,"0,5","0,5",2,"0,5","0,5",2,1,"0,5",2,1,2,24
Fire,2,"0,5","0,5",1,1,"0,5",1,"0,5",1,2,3,12
Water,"0,5",2,"0,5",1,1,2,1,2,1,1,4,35
Electric,"0,5",1,2,"0,5",1,"0,5",1,2,1,1,5,9
Psychic,1,1,1,1,2,"0,5",1,1,"0,5","0,5",6,46
Ground,"0,5",2,1,2,1,2,1,2,1,2,7,19
Normal,1,1,1,1,"0,5","0,5",2,"0,5",2,2,8,24
Flying,2,1,1,"0,5",1,"0,5",1,2,1,"0,5",9,18
Dark,2,1,1,1,2,1,1,1,1,"0,5",10,0
Steel,1,"0,5","0,5","0,5",1,2,1,1,1,"0,5",11,0
